Order,Category,FileName,Format,OriginalPath,SizeBytes,SHA256
1,01-Lam-quen-Packet-Tracer,1.5.7 Packet Tracer - Network Representation.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\1.5.7 Packet Tracer - Network Representation.pka,1260688,AF5E186BE8C96F45E2E5838B828D3BF7EF41F5379624901E56921E7DEBF7FF2C
1,01-Lam-quen-Packet-Tracer,1.5.7-packet-tracer---network-representation.pka,PKA,ccna-lap-s2\1.5.7-packet-tracer---network-representation.pka,1364018,BEF76C2F83DCE7F9479A38417E0D1B8E2605D80381BA652B380DC7A38C8F5F49
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,1.4.7 Packet Tracer - Configure Router Interfaces.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\1.4.7 Packet Tracer - Configure Router Interfaces.pka,780693,52934D24E06EF6076EB0CDD3BE03F4142EDC93D5F93C7839AB15BB1582C91B69
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,10.1.4 Packet Tracer - Configure Initial Router Settings.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\10.1.4 Packet Tracer - Configure Initial Router Settings.pka,156737,69A43D1C248CB939CBE9067662F6BE46725F8017881337C09766F9A79865D881
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,10.3.4 Packet Tracer - Connect a Router to a LAN.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\10.3.4 Packet Tracer - Connect a Router to a LAN.pka,696400,F6BBADAB33AB1D594F6C3CD5600BBF5FE626D87FE77FC2339800C07B53727C24
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,10.4.3 Packet Tracer - Basic Device Configuration.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\10.4.3 Packet Tracer - Basic Device Configuration.pka,655816,07C2F90C2BC5D19E6AD2383483E70A2E1FF988A4075B35D342D1FD683A300957
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,14.3.5 Packet Tracer - Basic Router Configuration Review.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\14.3.5 Packet Tracer - Basic Router Configuration Review.pka,545245,136251FB9A9CBC875BA81B71B1D1100EF512AB74F0E5139F7CFBAE996B751B50
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,2.3.7 Packet Tracer - Navigate the IOS.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\2.3.7 Packet Tracer - Navigate the IOS.pka,157182,9F4811628000FB0C3E0656C9FA942116C372245228DB7DC52BD2FF97D04DD710
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,2.5.5 Packet Tracer - Configure Initial Switch Settings.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\2.5.5 Packet Tracer - Configure Initial Switch Settings.pka,170716,74AED02C7C6884B0D15E13EE5425F9BBE79FBB9E2C3E094A44545EC236D68697
2,02-IOS-va-cau-hinh-thiet-bi-co-ban,2.9.1 Packet Tracer - Basic Switch and End Device Configuration.pka,PKA,S1_ITN v7 Packet Tracer Activity Source Files\2.9.1 Packet Tracer - Basic Switch and End Device Configuration.pka,194628,A5AA74BD7C8EA582F7F1973B2BAB0ECCB1EC0A5A5D511B533060A96C821DF264
